setup_date,fill_date,strategy,direction,contracts,fill_price,exit_price,exit_reason,pts,pts_net,pnl_dollars,risk_pts,R,equity_after
2013-06-19,2013-06-20,TOPQ,short,4,2958.0,2935.625,target,22.375,21.875,169.0,22.875,0.9562841530054644,28411.96999999999
2013-06-21,2013-06-24,NR7,short,2,2866.5,2839.58,target,26.920000000000073,26.420000000000073,102.68000000000029,41.0,0.6443902439024408,28514.64999999999
2013-06-26,2013-06-27,TOPQ,long,4,2893.0,2916.25,target,23.25,22.75,176.0,23.75,0.9578947368421052,28690.64999999999
2013-07-02,2013-07-03,NR7,long,3,2941.5,2907.25,stop,-34.25,-34.75,-213.0,34.25,-1.0145985401459854,28477.64999999999
2013-07-03,2013-07-05,TOPQ,long,3,2949.25,2956.5,close,7.25,6.75,36.0,26.25,0.2571428571428571,28513.64999999999
2013-07-08,2013-07-09,NR7,long,3,2978.5,2974.25,close,-4.25,-4.75,-33.0,29.75,-0.15966386554621848,28480.64999999999
2013-07-09,2013-07-10,NR7,long,3,2985.25,2996.25,close,11.0,10.5,58.5,26.25,0.4,28539.14999999999
2013-08-05,2013-08-06,NR7,short,8,3127.75,3107.17,target,20.579999999999927,20.079999999999927,309.27999999999884,12.5,1.6063999999999943,28848.42999999999
2013-08-07,2013-08-08,TOPQ,long,6,3119.75,3133.875,target,14.125,13.625,154.5,14.625,0.9316239316239316,29002.92999999999
2013-08-09,2013-08-12,TOPQ,short,8,3106.75,3120.875,stop,-14.125,-14.625,-246.0,14.125,-1.0353982300884956,28756.92999999999
2013-08-12,2013-08-13,TOPQ,long,6,3129.75,3111.875,ambiguous_stop,-17.875,-18.375,-229.5,17.875,-1.027972027972028,28527.42999999999
2013-08-16,2013-08-19,NR7,short,4,3068.0,3090.0,stop,-22.0,-22.5,-186.0,22.0,-1.0227272727272727,28341.42999999999
2013-08-21,2013-08-22,TOPQ,short,4,3059.0,3079.0,stop,-20.0,-20.5,-170.0,20.0,-1.025,28171.42999999999
2013-08-22,2013-08-23,TOPQ,long,3,3107.25,3121.25,close,14.0,13.5,76.5,26.0,0.5192307692307693,28247.92999999999
2013-08-23,2013-08-26,TOPQ,long,6,3127.25,3142.25,target,15.0,14.5,165.0,15.5,0.9354838709677419,28412.92999999999
2013-08-26,2013-08-27,TOPQ,short,6,3117.0,3102.25,target,14.75,14.25,162.0,15.25,0.9344262295081968,28574.92999999999
2013-08-28,2013-08-29,NR7,long,3,3085.0,3089.5,close,4.5,4.0,19.5,29.0,0.13793103448275862,28594.42999999999
2013-09-05,2013-09-06,NR7,long,8,3138.0,3124.0,stop,-14.0,-14.5,-244.0,14.0,-1.0357142857142858,28350.42999999999
2013-09-13,2013-09-16,TOPQ,long,3,3196.25,3172.125,ambiguous_stop,-24.125,-24.625,-152.25,24.125,-1.0207253886010363,28198.17999999999
2013-09-17,2013-09-18,TOPQ,long,6,3196.25,3212.5,target,16.25,15.75,180.0,16.75,0.9402985074626866,28378.17999999999
2013-10-07,2013-10-08,TOPQ,short,6,3201.5,3186.25,target,15.25,14.75,168.0,15.75,0.9365079365079365,28546.17999999999
2013-10-08,2013-10-09,TOPQ,short,3,3144.0,3132.5,close,11.5,11.0,61.5,35.375,0.31095406360424027,28607.67999999999
2013-10-10,2013-10-11,TOPQ,long,2,3209.75,3225.5,close,15.75,15.25,58.0,38.625,0.3948220064724919,28665.67999999999
2013-10-11,2013-10-14,TOPQ,long,3,3230.75,3203.125,stop,-27.625,-28.125,-173.25,27.625,-1.0180995475113122,28492.42999999999
2013-10-14,2013-10-15,TOPQ,long,3,3255.25,3240.75,close,-14.5,-15.0,-94.5,30.25,-0.49586776859504134,28397.92999999999
